Start Time,count
2020-08-12 05:00:00,4
2020-08-12 07:00:00,9
2020-08-12 08:00:00,16
2020-08-12 09:00:00,35
2020-08-12 10:00:00,71
2020-08-12 11:00:00,150
2020-08-12 12:00:00,180
2020-08-12 13:00:00,203
2020-08-12 14:00:00,200
2020-08-12 15:00:00,265
2020-08-12 16:00:00,300
2020-08-12 17:00:00,398
2020-08-12 18:00:00,507
2020-08-12 19:00:00,570
2020-08-12 20:00:00,498
2020-08-12 21:00:00,386
2020-08-12 22:00:00,2
2020-08-13 05:00:00,17
2020-08-13 06:00:00,36
2020-08-13 07:00:00,69
2020-08-13 08:00:00,89
2020-08-13 09:00:00,90
2020-08-13 10:00:00,160
2020-08-13 11:00:00,197
2020-08-13 12:00:00,242
2020-08-13 13:00:00,268
2020-08-13 14:00:00,329
2020-08-13 15:00:00,343
2020-08-13 16:00:00,389
2020-08-13 17:00:00,558
2020-08-13 18:00:00,604
2020-08-13 19:00:00,705
2020-08-13 20:00:00,581
2020-08-13 21:00:00,4
2020-08-14 05:00:00,26
2020-08-14 06:00:00,26
2020-08-14 07:00:00,62
2020-08-14 08:00:00,97
2020-08-14 09:00:00,128
2020-08-14 10:00:00,200
2020-08-14 11:00:00,259
2020-08-14 12:00:00,306
2020-08-14 13:00:00,345
2020-08-14 14:00:00,372
2020-08-14 15:00:00,472
2020-08-14 16:00:00,495
2020-08-14 17:00:00,651
2020-08-14 18:00:00,705
2020-08-14 19:00:00,747
2020-08-14 20:00:00,649
2020-08-14 21:00:00,10
2020-08-14 23:00:00,1
2020-08-15 05:00:00,23
2020-08-15 06:00:00,45
2020-08-15 07:00:00,53
2020-08-15 08:00:00,96
2020-08-15 09:00:00,166
2020-08-15 10:00:00,256
2020-08-15 11:00:00,333
2020-08-15 12:00:00,458
2020-08-15 13:00:00,562
2020-08-15 14:00:00,645
2020-08-15 15:00:00,656
2020-08-15 16:00:00,727
2020-08-15 17:00:00,719
2020-08-15 18:00:00,443
2020-08-15 19:00:00,654
2020-08-15 20:00:00,495
2020-08-15 21:00:00,6
2020-08-15 23:00:00,2
2020-08-16 05:00:00,21
2020-08-16 06:00:00,45
2020-08-16 07:00:00,47
2020-08-16 08:00:00,107
2020-08-16 09:00:00,178
2020-08-16 10:00:00,226
2020-08-16 11:00:00,369
2020-08-16 12:00:00,492
2020-08-16 13:00:00,586
2020-08-16 14:00:00,617
2020-08-16 15:00:00,726
2020-08-16 16:00:00,743
2020-08-16 17:00:00,760
2020-08-16 18:00:00,711
2020-08-16 19:00:00,690
2020-08-16 20:00:00,522
2020-08-16 21:00:00,5
2020-08-17 05:00:00,12
2020-08-17 06:00:00,31
2020-08-17 07:00:00,75
2020-08-17 08:00:00,87
2020-08-17 09:00:00,111
2020-08-17 10:00:00,139
2020-08-17 11:00:00,185
2020-08-17 12:00:00,247
2020-08-17 13:00:00,301
2020-08-17 14:00:00,343
2020-08-17 15:00:00,404
2020-08-17 16:00:00,445
2020-08-17 17:00:00,573
2020-08-17 18:00:00,662
2020-08-17 19:00:00,704
2020-08-17 20:00:00,537
2020-08-17 21:00:00,233
2020-08-17 22:00:00,2
2020-08-18 05:00:00,20
2020-08-18 06:00:00,44
2020-08-18 07:00:00,70
2020-08-18 08:00:00,113
2020-08-18 09:00:00,145
2020-08-18 10:00:00,160
2020-08-18 11:00:00,189
2020-08-18 12:00:00,334
2020-08-18 13:00:00,352
2020-08-18 14:00:00,434
2020-08-18 15:00:00,500
2020-08-18 16:00:00,547
2020-08-18 17:00:00,664
2020-08-18 18:00:00,731
2020-08-18 19:00:00,738
2020-08-18 20:00:00,634
2020-08-18 21:00:00,408
2020-08-19 05:00:00,27
2020-08-19 06:00:00,49
2020-08-19 07:00:00,84
2020-08-19 08:00:00,146
2020-08-19 09:00:00,157
2020-08-19 10:00:00,217
2020-08-19 11:00:00,282
2020-08-19 12:00:00,330
2020-08-19 13:00:00,352
2020-08-19 14:00:00,444
2020-08-19 15:00:00,487
2020-08-19 16:00:00,581
2020-08-19 17:00:00,720
2020-08-19 18:00:00,706
2020-08-19 19:00:00,534
2020-08-19 20:00:00,389
2020-08-19 21:00:00,290
2020-08-20 05:00:00,12
2020-08-20 06:00:00,33
2020-08-20 07:00:00,74
2020-08-20 08:00:00,74
2020-08-20 09:00:00,97
2020-08-20 10:00:00,123
2020-08-20 11:00:00,153
2020-08-20 12:00:00,220
2020-08-20 13:00:00,219
2020-08-20 14:00:00,267
2020-08-20 15:00:00,280
2020-08-20 16:00:00,298
2020-08-20 17:00:00,469
2020-08-20 18:00:00,583
2020-08-20 19:00:00,723
2020-08-20 20:00:00,624
2020-08-20 21:00:00,484
2020-08-20 22:00:00,2
2020-08-20 23:00:00,1
2020-08-21 05:00:00,38
2020-08-21 06:00:00,55
2020-08-21 07:00:00,100
2020-08-21 08:00:00,163
2020-08-21 09:00:00,179
2020-08-21 10:00:00,235
2020-08-21 11:00:00,329
2020-08-21 12:00:00,395
2020-08-21 13:00:00,446
2020-08-21 14:00:00,457
2020-08-21 15:00:00,542
2020-08-21 16:00:00,664
2020-08-21 17:00:00,893
2020-08-21 18:00:00,929
2020-08-21 19:00:00,930
2020-08-21 20:00:00,827
2020-08-21 21:00:00,656
2020-08-21 22:00:00,5
2020-08-22 05:00:00,44
2020-08-22 06:00:00,40
2020-08-22 07:00:00,95
2020-08-22 08:00:00,169
2020-08-22 09:00:00,254
2020-08-22 10:00:00,361
2020-08-22 11:00:00,508
2020-08-22 12:00:00,626
2020-08-22 13:00:00,765
2020-08-22 14:00:00,829
2020-08-22 15:00:00,947
2020-08-22 16:00:00,924
2020-08-22 17:00:00,1069
2020-08-22 18:00:00,1212
2020-08-22 19:00:00,1125
2020-08-22 20:00:00,948
2020-08-22 21:00:00,632
2020-08-22 22:00:00,5
2020-08-23 05:00:00,30
2020-08-23 06:00:00,43
2020-08-23 07:00:00,82
2020-08-23 08:00:00,144
2020-08-23 09:00:00,214
2020-08-23 10:00:00,381
2020-08-23 11:00:00,545
2020-08-23 12:00:00,699
2020-08-23 13:00:00,864
2020-08-23 14:00:00,809
2020-08-23 15:00:00,813
2020-08-23 16:00:00,969
2020-08-23 17:00:00,843
2020-08-23 18:00:00,373
2020-08-23 19:00:00,443
2020-08-23 20:00:00,454
2020-08-23 21:00:00,400
2020-08-23 22:00:00,5
2020-08-24 05:00:00,26
2020-08-24 06:00:00,65
2020-08-24 07:00:00,108
2020-08-24 08:00:00,157
2020-08-24 09:00:00,159
2020-08-24 10:00:00,183
2020-08-24 11:00:00,262
2020-08-24 12:00:00,373
2020-08-24 13:00:00,419
2020-08-24 14:00:00,417
2020-08-24 15:00:00,435
2020-08-24 16:00:00,543
